Test loss,Test accuracy,F1,Balanced,Precision,Recall
5.070952415466309,0.5108613967895508,0.5019055404297275,0.5137249690029707,0.5005228878979863,0.5108614232209738
4.865376949310303,0.5033707618713379,0.5033543392451846,0.504390814900122,0.5058388781570168,0.503370786516854
5.269766330718994,0.5258427262306213,0.5219421545276592,0.5260120089894466,0.5223609566686795,0.5258426966292135
4.980767250061035,0.5198501944541931,0.5093500482657185,0.5137232845557048,0.5282731238278991,0.5198501872659176
4.442566394805908,0.5153558254241943,0.5059716762651678,0.5136807218797549,0.5131448017850874,0.5153558052434457
4.158761501312256,0.516853928565979,0.5088185721512378,0.5179827401109335,0.506282142199518,0.5168539325842697
5.207210063934326,0.49737828969955444,0.4817580090746096,0.5016994784319523,0.47671301136935945,0.49737827715355803
5.226871490478516,0.5318351984024048,0.5253521496757917,0.532245793243386,0.523793482033157,0.5318352059925093
4.861602306365967,0.5490636825561523,0.5399432143560595,0.5541824045047252,0.5554643334430187,0.549063670411985
5.416999340057373,0.5213482975959778,0.5142362533364466,0.5201973099989444,0.5183749960890657,0.5213483146067416
