genre,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc,melspectrogram,tonnetz,tempo,tempogram,fourier_tempogram,rms,zero_crossing_rate,spectral_flatness
Classical Music,0.57132506,0.26949024,0.17244463,757.067786382495,1234.5589110092626,1412.524791989164,21.01166390366144,-6.2369647,0.27180326,0.12545887200182884,129.19921875,0.3040920864600224,(0.36583906+0.0013808958j),0.031465568,0.0189549118372678,3.2686282e-06
Classical Music,0.3558378,0.3309085,0.20487766,817.879594832345,1202.1454841342916,1286.0588900445046,21.105509986412923,-10.052597,0.76294184,-0.00863686325545592,143.5546875,0.2323609150760805,(0.35169238-0.0025675895j),0.04110827,0.021522923519736843,9.425597e-06
Classical Music,0.27383423,0.28751493,0.18275085,1581.248402224165,1668.6493698705947,2880.4159158523607,23.483730102736597,-11.181523,1.8384267,0.005510700695716405,123.046875,0.3052123127971772,(0.37003997-0.0028441818j),0.08038219,0.04496949375967492,3.109833e-05
Classical Music,0.3616137,0.2610735,0.17950137,1146.424884436651,1463.5145320503013,2053.1875846555727,22.254949373180008,-1.2322162,3.0798194,0.05987500523176496,126.04801829268293,0.3110207086182207,(0.39440563+0.0010991486j),0.11787963,0.030985829261803405,3.9574593e-06
Classical Music,0.25499025,0.26975232,0.1714541,2611.099348515457,2543.1600482194335,4499.42279260594,27.10545677896826,-20.825245,0.62629724,0.07868462432763211,123.046875,0.3087664554402833,(0.45363444-0.0011848797j),0.04754776,0.07914237857972137,2.2838667e-05
Classical Music,0.4571576,0.29892167,0.18214437,863.8631940732477,1100.6643330991774,1434.0413285482778,20.585969286889192,-2.7249875,2.2305596,0.07495141850641825,129.19921875,0.30180813571160653,(0.32848874-0.0024503516j),0.094071135,0.025863033330108358,1.1266954e-05
Classical Music,0.38595918,0.5950333,0.25923353,2017.5306532207574,2699.349741693255,3901.709740228328,21.126350629218653,5.580369,7.5401773,-0.0013957092691720574,143.5546875,0.21896122067288262,(0.5254234-0.0007191831j),0.20062907,0.043664135061919504,4.715701e-05
Classical Music,0.21907747,0.23082243,0.16496196,1516.4372131613352,1754.7498785433163,2781.199849131676,25.750869998768298,-11.501842,1.4132726,0.022343147706782435,126.04801829268293,0.3100909731413501,(0.41711527-3.7038008e-05j),0.082122535,0.03876809512867647,5.3843687e-06
Classical Music,0.3772368,0.29023752,0.18492287,1408.3540270077203,1895.5663205687918,2644.250677244582,24.1956359463912,-1.8107815,2.4774716,0.08299059419534485,126.04801829268293,0.30710316197908283,(0.4006958+0.0046135215j),0.11078528,0.03832516507836687,7.364625e-06
Classical Music,0.5040962,0.49573424,0.25021994,1725.904267123898,2218.300225689,3311.6466415924924,20.08957481073888,3.3312309,5.7676373,0.028772610606269546,135.99917763157896,0.2835139541371555,(0.4643189-0.00041812222j),0.17063212,0.041971023606811146,3.149436e-05
