Test loss,Test accuracy,F1,Balanced,Precision,Recall
4.852543354034424,0.5116105079650879,0.5059279434787197,0.5104743937338619,0.5107904433763317,0.5116104868913858
4.614080429077148,0.4928838908672333,0.5009032429930339,0.49350680789551116,0.5196199678235636,0.49288389513108616
4.6903181076049805,0.5438202023506165,0.5400541476416539,0.5442603447236808,0.5420962215276927,0.5438202247191011
4.842234134674072,0.5108613967895508,0.506923555671778,0.5093398297808968,0.5129359464378788,0.5108614232209738
5.4331583976745605,0.4823969900608063,0.4792809869328707,0.4817015293445592,0.47748907645458877,0.48239700374531835
4.514248847961426,0.5123595595359802,0.5082382649986503,0.5102134615227208,0.5114587335234431,0.5123595505617977
4.434971332550049,0.4883895218372345,0.4878297605300497,0.49580249308291213,0.49982949274308075,0.4883895131086142
4.498072624206543,0.5333333611488342,0.5281013728466322,0.5363311882989966,0.5270234470541733,0.5333333333333333
4.822794437408447,0.5258427262306213,0.523657902082554,0.5250673143501507,0.5255080726321667,0.5258426966292135
4.5571608543396,0.5153558254241943,0.49934701316061,0.5157638070868561,0.5001492008154664,0.5153558052434457
