genre,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc,melspectrogram,tonnetz,tempo,tempogram,fourier_tempogram,rms,zero_crossing_rate,spectral_flatness
Classical Music,0.2683476,0.3221629,0.20298594,1354.385353950728,2185.977512664977,2188.442915276972,20.87254314684817,-12.657732,0.6061504,0.009204116085263659,123.046875,0.1107408918920579,(0.5539195+0.007981337j),0.045658544,0.024709750217517402,5.512157e-05
Classical Music,0.43766418,0.3687808,0.20398134,1767.878183589267,3107.325917920291,3528.99722212152,18.7963160995998,-12.803584,0.02787297,0.08172752646125399,109.95678191489361,0.11893213687203924,(0.5948494+0.004121676j),0.010793918,0.019054297781322505,0.00012513994
Classical Music,0.26246428,0.32079965,0.22286922,1883.1892159651713,2737.2970095408627,3446.311720562645,22.051471236631773,-11.806052,0.64101166,0.014217546219640168,112.34714673913044,0.11850185272507,(0.532894-0.0032187963j),0.0448549,0.03113784258990719,0.0001546066
Classical Music,0.26183113,0.29309532,0.18792336,1291.9776372071567,2468.046883470002,1685.4852450696055,21.588895387366737,-12.121257,0.46829066,-0.004054841220709333,99.38401442307692,0.1484687489415321,(0.36502722+0.0040005567j),0.035747875,0.022315925899071925,2.4497704e-05
Classical Music,0.4021388,0.45778766,0.23055702,1471.9292578455957,1965.5776491226475,2724.72459124855,20.704620335973175,-1.7348019,2.0016842,0.042071936922409105,123.046875,0.28078797222571317,(0.39674-0.0003843333j),0.09823812,0.03431676877900232,3.471965e-05
Classical Music,0.27969414,0.28570336,0.18292797,1393.34461881243,1712.868823423279,2456.983441487819,24.477113485953414,-2.3639088,0.73461866,-0.0595514658214167,123.046875,0.28504411928708373,(0.37529898-0.0013929042j),0.062389214,0.04441546729988399,8.114571e-06
Classical Music,0.38951114,0.36289808,0.19862215,655.9471187858973,864.8062771043914,957.0034938732599,23.53135937498681,-4.7167983,1.7131191,0.00484243003123532,120.18531976744185,0.2822655362540008,(0.2902766-0.0036443302j),0.08886947,0.022134661397911832,7.5870917e-06
Classical Music,0.4605619,0.45191786,0.23216249,803.4272145555528,1348.2347130198252,1327.6144005582946,21.342909681191117,-2.0481257,1.696203,0.038345093519977266,120.18531976744185,0.2651581469765326,(0.32496864-0.005974809j),0.08246844,0.019655869344547564,1.3131477e-05
Classical Music,0.5870184,0.4154327,0.23799571,1118.2474341117352,1833.3423235708299,2184.995604335847,20.4639157116592,0.71895814,2.7933717,0.05861182224465536,151.99908088235293,0.21685405420975593,(0.4106311+0.0034038424j),0.11441642,0.0200172654437355,2.5743913e-05
Classical Music,0.52682817,0.3745447,0.23007832,2125.073843053056,2679.4448567145273,4361.597755945476,20.301274233519,-0.6649162,2.0076733,0.06043447226922826,161.4990234375,0.19830341195828236,(0.5340629+0.011030229j),0.091347456,0.045568762688515084,0.00010874007
Classical Music,0.5622882,0.3706261,0.21709223,1554.8744523591613,1793.3057972005624,2710.73550337152,20.849314365410333,-2.7256536,1.1255125,0.03186273604657576,120.18531976744185,0.28857091742406243,(0.39473444-0.004802616j),0.07408199,0.04807587732018562,0.0001504195
Classical Music,0.58659613,0.26014733,0.17759675,865.8232189320769,1312.205846183746,1685.2354399289443,20.832241130863512,-6.4917164,0.22118102,0.0026246296662339563,129.19921875,0.2747374498309894,(0.3609383+0.0054082987j),0.03035081,0.02685207004060325,5.23437e-06
Classical Music,0.26784992,0.30371428,0.20353256,725.4979406292756,1112.7900142737237,926.6771497969837,22.182114820721175,-16.824686,0.21831578,0.034065746593999115,143.5546875,0.18466235393450955,(0.35196155+0.0074457307j),0.026901666,0.021180756960556844,1.9506135e-05
