Test loss,Test accuracy,F1,Balanced,Precision,Recall
1.265609622001648,0.5161048769950867,0.5154666704484996,0.5197470019186378,0.5201569373339443,0.5161048689138577
1.4126278162002563,0.5325842499732971,0.5242402472284304,0.5319446419395341,0.5350724712179682,0.5325842696629214
1.370898962020874,0.537827730178833,0.5290690906111535,0.5394228682907168,0.5348951910880799,0.5378277153558052
1.2618383169174194,0.5183520317077637,0.5148193244170893,0.5193095369600517,0.5170423922527422,0.5183520599250936
1.2715938091278076,0.5325842499732971,0.5246622614896892,0.5306228871901716,0.5296086430827083,0.5325842696629214
1.2578474283218384,0.5468164682388306,0.5421385783358486,0.5497426790089611,0.5435491050006894,0.5468164794007491
1.2840665578842163,0.5250936150550842,0.5179235925668259,0.5251937147585818,0.5200305524259796,0.5250936329588015
1.2957375049591064,0.5280898809432983,0.5247724430623709,0.5320074032868918,0.5277511651829894,0.5280898876404494
1.2255947589874268,0.550561785697937,0.5437978757279761,0.5533407452222924,0.5463364776079488,0.550561797752809
1.2629607915878296,0.5333333611488342,0.5275409234110389,0.5318575802398237,0.5282121206590947,0.5333333333333333
