Test loss,Test accuracy,F1,Balanced,Precision,Recall
1.859057903289795,0.5438202023506165,0.534481790598567,0.542448921679381,0.5423841396408465,0.5438202247191011
1.4079394340515137,0.5662921071052551,0.5554661215823774,0.5636270232480098,0.5581750667670464,0.5662921348314607
1.538895845413208,0.5453183650970459,0.5377641213170788,0.5471881425749275,0.54678391346967,0.5453183520599251
1.829822301864624,0.5475655198097229,0.5425042020259796,0.5524292255421659,0.555041013887595,0.547565543071161
1.6676297187805176,0.5543071031570435,0.5503685960866871,0.5556397187138525,0.5519669005523609,0.5543071161048689
1.64890456199646,0.5595505833625793,0.5610269748114363,0.554928517317551,0.5739611898843975,0.5595505617977528
1.5819450616836548,0.5183520317077637,0.5109269862974978,0.5143775528545874,0.5215743057872527,0.5183520599250936
1.691636323928833,0.561048686504364,0.5592718496045285,0.5628774734208333,0.5593066409261951,0.5610486891385768
1.6283782720565796,0.5700374245643616,0.5614134792461768,0.5685944398676067,0.5622963110848964,0.5700374531835206
1.7311443090438843,0.5602996349334717,0.5584039774422631,0.5602232974497379,0.5593862588996048,0.5602996254681648
